高楼の弓使い,Aerie Bowmasters,
アイノクの弩弓手,Ainok Artillerist,<i>「かつて私が知っていたタルキールでは、アブザンの者たちは先祖の木を崇拝していた。今のドロモカとしての彼らは、最も良質な木を、武器を造るために切り倒している。」<br/></i><br/></i>――サルカン・ヴォル</i>
アイノクの生き残り,Ainok Survivalist,
待ち伏せの巫師,Ambuscade Shaman,
族樹の精霊、アナフェンザ,"Anafenza, Kin-Tree Spirit",<i>祖先への崇拝に殉じた彼女は、今は祖先と共に歩んでいる。</i>
祖先の像,Ancestral Statue,<i>魔道士は自分の氏族の失われた知識が得られることを期待して石像を覚醒させたが、石像が興味を持っていたのは戦争だけだった。</i>
古えの鯉,Ancient Carp,<i>「将来大いなるご馳走に育つものを、なぜ今食べねばならぬのだ？」<br/></i><br/></i>――オジュタイ、龍詞からの翻訳</i>
予期,Anticipate,<i>「あらゆる攻防の結果を瞑想し終えたなら、相手にはもう勝ち目も奥の手もありません。」</i>
アラシンの先頭に立つ者,Arashin Foremost,<i>「我が氏族を勝利へと導くことになるのなら、喜んでこの命を差し出しましょう。」</i>
アラシンの君主,Arashin Sovereign,<i>他の氏族は反乱を鎮圧するために時間を割かねばならないが、ドロモカの龍たちはその臣下たちとの信頼関係を醸成している。</i>
巧みな機動,Artful Maneuver,
突撃陣形,Assault Formation,
アタルカの獣壊し,Atarka Beastbreaker,<i>彼は小物の戦士が身に纏う重い冬装備を嘲笑い、自らの怒りの力で体を温めることを頼みとしている。</i>
アタルカのイフリート,Atarka Efreet,
アタルカの碑,Atarka Monument,<i>龍の鉢とも呼ばれるアヤゴールでアタルカは崇拝され、臣下たちによって食料が提供されている。</i>
アタルカの打撃手,Atarka Pummeler,
アタルカの命令,Atarka's Command,
毅然さの化身,Avatar of the Resolute,<i>それはドロモカの理想である力、団結、そして名誉を体現している。</i>
エイヴンの陽光弾手,Aven Sunstriker,
エイヴンの戦術家,Aven Tactician,<i>エイヴンが賞賛されるのは、龍と共に空を翔けられるからである。</i>
熟達した戦い,Battle Mastery,<i>「オジュタイの行為のすべてに優雅さがある。それがたとえ相手の命を奪う行為であっても。」<br/></i><br/></i>――シルムガルの処罰者、キラダ</i>
鐘鳴りのドラゴン,Belltoll Dragon,
